station,window_start,window_end,asset_hint
RS03AXPS,2025-01-01T19:00:00Z,2025-01-01T19:10:00Z,ooi://RS03AXPS/2025/01/01/190000.mseed
RS03AXPS,2025-01-01T19:10:00Z,2025-01-01T19:20:00Z,ooi://RS03AXPS/2025/01/01/191000.mseed
RS03AXPS,2025-01-01T19:20:00Z,2025-01-01T19:30:00Z,ooi://RS03AXPS/2025/01/01/192000.mseed
RS03AXPS,2025-01-01T19:30:00Z,2025-01-01T19:40:00Z,ooi://RS03AXPS/2025/01/01/193000.mseed
RS03AXPS,2025-01-01T19:40:00Z,2025-01-01T19:50:00Z,ooi://RS03AXPS/2025/01/01/194000.mseed
RS03AXPS,2025-01-01T19:50:00Z,2025-01-01T20:00:00Z,ooi://RS03AXPS/2025/01/01/195000.mseed
RS03AXPS,2025-01-01T20:00:00Z,2025-01-01T20:10:00Z,ooi://RS03AXPS/2025/01/01/200000.mseed
RS03AXPS,2025-01-01T20:10:00Z,2025-01-01T20:20:00Z,ooi://RS03AXPS/2025/01/01/201000.mseed
RS03AXPS,2025-01-01T20:20:00Z,2025-01-01T20:30:00Z,ooi://RS03AXPS/2025/01/01/202000.mseed
RS03AXPS,2025-01-01T20:30:00Z,2025-01-01T20:40:00Z,ooi://RS03AXPS/2025/01/01/203000.mseed
RS03AXPS,2025-01-01T20:40:00Z,2025-01-01T20:50:00Z,ooi://RS03AXPS/2025/01/01/204000.mseed
RS03AXPS,2025-01-01T20:50:00Z,2025-01-01T21:00:00Z,ooi://RS03AXPS/2025/01/01/205000.mseed
RS03AXPS,2025-01-01T21:00:00Z,2025-01-01T21:10:00Z,ooi://RS03AXPS/2025/01/01/210000.mseed
RS03AXPS,2025-01-01T21:10:00Z,2025-01-01T21:20:00Z,ooi://RS03AXPS/2025/01/01/211000.mseed
RS03AXPS,2025-01-01T21:20:00Z,2025-01-01T21:30:00Z,ooi://RS03AXPS/2025/01/01/212000.mseed
RS03AXPS,2025-01-01T21:30:00Z,2025-01-01T21:40:00Z,ooi://RS03AXPS/2025/01/01/213000.mseed
RS03AXPS,2025-01-01T21:40:00Z,2025-01-01T21:50:00Z,ooi://RS03AXPS/2025/01/01/214000.mseed
RS03AXPS,2025-01-01T21:50:00Z,2025-01-01T22:00:00Z,ooi://RS03AXPS/2025/01/01/215000.mseed
RS03AXPS,2025-01-01T22:00:00Z,2025-01-01T22:10:00Z,ooi://RS03AXPS/2025/01/01/220000.mseed
RS03AXPS,2025-01-01T22:10:00Z,2025-01-01T22:20:00Z,ooi://RS03AXPS/2025/01/01/221000.mseed
RS03AXPS,2025-01-01T22:20:00Z,2025-01-01T22:30:00Z,ooi://RS03AXPS/2025/01/01/222000.mseed
RS03AXPS,2025-01-01T22:30:00Z,2025-01-01T22:40:00Z,ooi://RS03AXPS/2025/01/01/223000.mseed
RS03AXPS,2025-01-01T22:40:00Z,2025-01-01T22:50:00Z,ooi://RS03AXPS/2025/01/01/224000.mseed
RS03AXPS,2025-01-01T22:50:00Z,2025-01-01T23:00:00Z,ooi://RS03AXPS/2025/01/01/225000.mseed
RS03AXPS,2025-01-01T23:00:00Z,2025-01-01T23:10:00Z,ooi://RS03AXPS/2025/01/01/230000.mseed
RS03AXPS,2025-01-01T23:10:00Z,2025-01-01T23:20:00Z,ooi://RS03AXPS/2025/01/01/231000.mseed
RS03AXPS,2025-01-01T23:20:00Z,2025-01-01T23:30:00Z,ooi://RS03AXPS/2025/01/01/232000.mseed
RS03AXPS,2025-01-01T23:30:00Z,2025-01-01T23:40:00Z,ooi://RS03AXPS/2025/01/01/233000.mseed
RS03AXPS,2025-01-01T23:40:00Z,2025-01-01T23:50:00Z,ooi://RS03AXPS/2025/01/01/234000.mseed
RS03AXPS,2025-01-01T23:50:00Z,2025-01-02T00:00:00Z,ooi://RS03AXPS/2025/01/01/235000.mseed
